date,tempmax,tempmin,temp,humidity,windspeed,pressure,precip,snow,visibility,cloudcover,conditions
2025-01-01,-3.5,-8.1,-6.0,68.5,25.3,1026.5,0.0,0.0,17.6,41.8,Partially cloudy
2025-01-02,2.1,-5.7,0.9,84.4,43.1,1023.5,1.23,0.2,13.4,86.3,"Snow, Rain, Partially cloudy"
2025-01-03,2.0,0.0,1.1,93.5,26.1,1012.1,7.442,0.1,11.3,96.2,"Snow, Rain, Overcast"
2025-01-04,0.7,-7.0,-2.9,78.2,20.3,1012.5,0.523,0.0,17.1,63.0,"Snow, Rain, Partially cloudy"
2025-01-05,-3.5,-5.5,-4.5,69.8,36.1,1018.2,0.164,0.0,18.3,33.5,"Snow, Partially cloudy"
2025-01-06,-3.0,-4.3,-3.7,72.2,47.4,1020.0,0.059,0.0,16.4,52.0,"Snow, Partially cloudy"
2025-01-07,-0.3,-5.3,-3.9,80.3,29.0,1013.7,1.151,0.6,15.5,69.9,"Snow, Rain, Partially cloudy"
2025-01-08,-3.0,-7.3,-5.1,64.4,26.9,1015.5,0.083,0.0,18.7,18.3,Snow
2025-01-09,1.0,-6.5,-3.1,66.4,23.3,1013.6,0.013,0.0,15.7,65.7,"Snow, Partially cloudy"
2025-01-10,4.0,-0.3,2.7,85.1,31.5,1011.5,1.017,0.1,14.2,83.5,"Snow, Rain, Partially cloudy"
2025-01-11,5.7,3.3,4.2,92.9,50.0,1011.3,0.02,0.0,11.1,88.5,"Rain, Partially cloudy"
2025-01-12,7.1,4.0,5.9,96.4,57.1,993.2,5.081,0.0,9.1,96.7,"Rain, Overcast"
2025-01-13,7.0,1.1,4.3,93.9,33.1,990.3,0.803,0.0,11.2,85.0,"Rain, Partially cloudy"
2025-01-14,8.2,4.8,6.9,98.5,55.0,987.2,14.362,0.0,4.8,98.4,"Rain, Overcast"
2025-01-15,8.7,5.1,6.8,91.9,51.3,983.6,3.952,0.0,9.9,87.3,"Rain, Partially cloudy"
2025-01-16,4.9,-1.9,0.9,88.1,35.0,992.1,14.897,0.0,10.6,92.2,"Snow, Rain, Overcast"
2025-01-17,3.3,-3.3,0.1,82.9,31.1,996.2,0.013,0.1,22.2,78.9,"Snow, Rain, Partially cloudy"
2025-01-18,3.1,1.1,1.9,90.0,38.0,996.5,3.889,6.3,13.0,97.6,"Snow, Rain, Overcast"
2025-01-19,4.4,1.0,2.4,83.1,35.9,1005.1,0.71,1.5,16.5,92.4,"Snow, Rain, Overcast"
2025-01-20,3.1,-0.1,1.2,80.6,35.1,1008.6,0.506,0.0,17.3,65.6,"Snow, Rain, Partially cloudy"
2025-01-21,0.9,-1.1,0.0,80.8,29.9,1013.9,0.034,0.0,17.5,37.3,"Snow, Rain, Partially cloudy"
2025-01-22,2.9,1.0,1.9,83.5,56.8,1000.1,0.782,0.0,12.5,64.4,"Snow, Rain, Partially cloudy"
2025-01-23,3.1,0.1,2.0,83.3,50.3,974.2,12.991,2.2,11.6,88.5,"Snow, Rain, Partially cloudy"
2025-01-24,0.1,-1.9,-0.5,95.8,30.4,971.9,4.588,2.7,11.8,92.5,"Snow, Rain, Overcast"
2025-01-25,1.1,-1.0,-0.1,87.8,29.4,981.0,6.246,1.0,13.0,93.6,"Snow, Rain, Overcast"
2025-01-26,1.0,-1.2,-0.2,78.5,25.1,983.9,3.088,0.0,15.1,70.0,"Snow, Rain, Partially cloudy"
2025-01-27,0.7,-2.0,-0.7,80.9,34.9,985.3,2.963,1.2,9.4,92.2,"Snow, Rain, Overcast"
2025-01-28,0.0,-4.9,-2.2,90.5,23.0,990.8,9.869,0.4,16.0,66.6,"Snow, Rain, Partially cloudy"
2025-01-29,-1.2,-6.3,-3.4,85.5,25.2,1007.8,0.056,0.0,15.9,68.1,"Snow, Partially cloudy"
2025-01-30,3.1,-2.0,1.1,80.0,65.8,1001.5,14.161,1.3,12.5,91.4,"Snow, Rain, Overcast"
2025-01-31,8.0,-0.1,3.7,82.8,82.0,996.3,8.099,0.0,9.8,89.5,"Snow, Rain, Partially cloudy"
2025-02-01,9.1,2.1,5.2,86.6,74.1,973.9,12.968,0.0,10.3,89.1,"Rain, Partially cloudy"
2025-02-02,3.0,0.0,1.5,81.9,53.4,984.6,5.982,0.6,11.7,82.7,"Snow, Rain, Partially cloudy"
2025-02-03,5.0,0.9,2.4,88.4,65.7,959.4,11.162,1.7,10.3,91.7,"Snow, Rain, Overcast"
2025-02-04,2.0,-2.0,-0.3,73.4,62.4,978.7,1.35,0.1,12.0,84.1,"Snow, Rain, Partially cloudy"
2025-02-05,6.9,-1.8,2.5,84.1,89.8,981.7,9.952,0.9,8.8,90.0,"Snow, Rain, Partially cloudy"
2025-02-06,9.0,0.1,3.0,82.5,72.1,988.2,16.721,0.5,9.6,90.0,"Snow, Rain, Partially cloudy"
2025-02-07,4.0,-1.0,1.3,79.6,53.3,1007.3,2.661,0.0,12.0,73.2,"Snow, Rain, Partially cloudy"
2025-02-08,1.9,-2.0,0.0,83.4,30.6,1015.5,4.053,0.6,12.9,67.0,"Snow, Rain, Partially cloudy"
2025-02-09,6.0,0.9,4.2,92.6,49.3,1020.4,6.944,0.0,8.9,97.6,"Snow, Rain, Overcast"
2025-02-10,7.0,4.0,6.1,96.2,44.0,1022.0,10.232,0.0,7.5,95.3,"Rain, Overcast"
2025-02-11,6.1,3.7,5.4,87.5,32.5,1027.7,3.935,0.0,12.6,85.4,"Rain, Partially cloudy"
2025-02-12,7.0,3.8,5.3,75.2,54.1,1023.7,0.784,0.0,16.2,89.0,"Rain, Partially cloudy"
2025-02-13,6.1,3.1,5.5,75.3,58.5,1024.9,0.002,0.0,15.1,88.7,"Rain, Partially cloudy"
2025-02-14,4.5,1.1,2.5,70.2,27.7,1026.9,0.006,0.0,17.9,77.8,"Snow, Rain, Partially cloudy"
2025-02-15,4.1,0.9,2.0,65.4,38.3,1024.3,0.012,0.0,17.2,86.5,"Snow, Rain, Partially cloudy"
